Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant`Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Sawmill Ridge Wheat Field Oak,Sawmill Ridge Wheat Field Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>6.12 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_2,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_2,,,
Sawmill Ridge Mineral Oak,Sawmill Ridge Mineral Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>6.12 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_3,,,
Sawmill Ridge Nomadic Oak,Sawmill Ridge Nomadic Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>6.12 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium,4,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,6.12 inches,Random Embossed,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_4,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL79_4,,,
Crest Haven Prairie House Oak,Crest Haven Prairie House Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_01,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_01,,,
Crest Haven Wine Barrel Oak,Crest Haven Wine Barrel Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_03,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_03,,,
Crest Haven Briarwood Oak,Crest Haven Briarwood Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_04,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_04,,,
Crest Haven Summit Oak,Crest Haven Summit Oak,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium,4,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_05,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL81_05,,,
Western Ridge Flint Rock Pine,Western Ridge Flint Rock Pine,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Pine</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Pine,EIR,7.5 inches,Dark,4,Pine,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_01,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_01,,,
Western Ridge Windmill Pine,Western Ridge Windmill Pine,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Pine</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Light</span></div><div></div>,Mohawk Flooring,,"4,Pine,EIR,7.5 inches,Light,4,Pine,EIR,7.5 inches,Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_02,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_02,,,
Western Ridge Firelight Pine,Western Ridge Firelight Pine,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Pine</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"4,Pine,EIR,7.5 inches,Medium,4,Pine,EIR,7.5 inches,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_03,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_03,,,
Western Ridge Buckhorn Pine,Western Ridge Buckhorn Pine,<div><strong>Available Colors: </strong><span>4</span></div><div><strong>Species: </strong><span>Pine</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"4,Pine,EIR,7.5 inches,Dark,4,Pine,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_04,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL82_04,,,
Antique Craft Soft Chamois Oak,Antique Craft Soft Chamois Oak,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Light</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Light,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_1,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_1,,,
Antique Craft Stone Hearth Oak,Antique Craft Stone Hearth Oak,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_2,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_2,,,
Antique Craft Espresso Bark Oak,Antique Craft Espresso Bark Oak,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_3,,,
Antique Craft Cotton Knit Oak,Antique Craft Cotton Knit Oak,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Light</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Light,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_4,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_4,,,
Antique Craft Kindling Oak,Antique Craft Kindling Oak,<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>9.44 inches</span></div><div><strong>Embossing: </strong><span>Embossed in Register (EIR)</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium,5,Oak. Warm & traditional with a range in color.,Textured. Deep graining & hand scraping add contrast & character.,9.44 inches,Embossed in Register (EIR),Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_5,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL78_5,,,
Crest Haven Wrought Iron Oak,Crest Haven Wrought Iron Oak,<div><strong>Available Colors: </strong><span>1</span></div><div><strong>Species: </strong><span>Oak. Warm & traditional with a range in color.</span></div><div><strong>Finish: </strong><span>EIR</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"1,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark,1,Oak. Warm & traditional with a range in color.,EIR,7.5 inches,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCADL81_02,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCADL81_02,,,
Refined Artistry Painted Timber,Refined Artistry Painted Timber,<div><strong>Available Colors: </strong><span>3</span></div><div><strong>Species: </strong><span>Elm</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Dark,3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_1,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_1,,,
Refined Artistry Weathered Grey,Refined Artistry Weathered Grey,<div><strong>Available Colors: </strong><span>3</span></div><div><strong>Species: </strong><span>Elm</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Dark</span></div><div></div>,Mohawk Flooring,,"3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Dark,3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Dark",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_2,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_2,,,
Refined Artistry Silver Dollar,Refined Artistry Silver Dollar,<div><strong>Available Colors: </strong><span>3</span></div><div><strong>Species: </strong><span>Elm</span></div><div><strong>Finish: </strong><span>Textured. Deep graining & hand scraping add contrast & character.</span></div><div><strong>Width: </strong><span>7.5 inches</span></div><div><strong>Embossing: </strong><span>Random Embossed</span></div><div><strong>Variation: </strong><span>Medium</span></div><div></div>,Mohawk Flooring,,"3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Medium,3,Elm,Textured. Deep graining & hand scraping add contrast & character.,7.5 inches,Random Embossed,Medium",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_3,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/LCDL29_3,,,
"Terevina Oak 5"" Magnolia Oak","Terevina Oak 5"" Magnolia Oak","<div><strong>Available Colors: </strong><span>5</span></div><div><strong>Construction: </strong><span>Solid. Can be refinished, install above grade only.</span></div><div><strong>Width: </strong><span>5 inches</span></div><div><strong>Edge/End: </strong><span>Eased/Eased</span></div><div><strong>Subfloor: </strong><span>Wood</span></div><div><strong>Installation Method: </strong><span>Staple - Nail</span></div><div><strong>Character Variation: </strong><span>Medium</span></div><div><strong>Hardness: </strong><span>1290</span></div><div><strong>Shade: </strong><span>Light</span></div><div></div>",Mohawk Flooring,,"5,Solid. Can be refinished, install above grade only.,5 inches,Eased/Eased,Wood,Staple - Nail,Medium,1290,Light,5,Solid. Can be refinished, install above grade only.,5 inches,Eased/Eased,Wood,Staple - Nail,Medium,1290,Light",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/HWSC97_25,,,FALSE,,,,,,,,,,FALSE,,,,,,https://mohawk.scene7.com/is/image/MohawkResidential/HWSC97_25,,,
